settlement_id,txn_ref,settlement_date,merchant,amount,currency,status
SET-TXN-001,TXN-001,2024-03-02,Alpha Corp,1500.0,USD,settled
SET-TXN-002,TXN-002,2024-03-04,Beta Ltd,320.75,USD,settled
SET-TXN-003,TXN-003,2024-03-05,Gamma Inc,875.5,USD,settled
SET-TXN-004,TXN-004,2024-03-07,Delta Co,2200.0,USD,settled
SET-TXN-005,TXN-005,2024-03-09,Epsilon LLC,450.33,USD,settled
SET-TXN-006,TXN-006,2024-03-13,Zeta GmbH,3100.0,USD,settled
SET-TXN-007,TXN-007,2024-03-14,Eta SA,780.2,USD,settled
SET-TXN-008,TXN-008,2024-03-16,Theta BV,1250.0,USD,settled
SET-TXN-009,TXN-009,2024-03-18,Iota AG,560.8,USD,settled
SET-TXN-010,TXN-010,2024-03-21,Kappa Pty,990.45,USD,settled
SET-TXN-011,TXN-011,2024-04-02,Lambda NV,1800.0,USD,settled
SET-TXN-012,TXN-012,2024-03-22,Mu Corp,445.33,USD,settled
SET-TXN-013,TXN-013,2024-03-24,Nu Pte,670.0,USD,settled
SET-TXN-014,TXN-014,2024-03-10,Omicron SA,310.6,USD,settled
SET-TXN-015,TXN-015,2024-03-17,Pi Holdings,4500.0,USD,settled
SET-TXN-013-DUP,TXN-013,2024-03-25,Nu Pte,670.0,USD,settled
